Code,Level,Parent,Description
22.29,4,22.2,Manufacture of other plastic products
22.29.0,5,22.29,Manufacture of other plastic products
23,2,C,Manufacture of other non-metallic mineral products
23.1,3,23,Manufacture of glass and glass products
23.11,4,23.1,Manufacture of flat glass
23.11.0,5,23.11,Manufacture of flat glass
23.12,4,23.1,Shaping and processing of flat glass
23.12.0,5,23.12,Shaping and processing of flat glass
23.13,4,23.1,Manufacture of hollow glass
23.13.0,5,23.13,Manufacture of hollow glass
23.14,4,23.1,Manufacture of glass fibres
23.14.0,5,23.14,Manufacture of glass fibres
23.19,4,23.1,"Manufacture and processing of other glass, including technical glassware"
23.19.0,5,23.19,"Manufacture and processing of other glass, including technical glassware"
23.2,3,23,Manufacture of refractory products
23.20,4,23.2,Manufacture of refractory products
23.20.0,5,23.20,Manufacture of refractory products
23.3,3,23,Manufacture of clay building materials
23.31,4,23.3,Manufacture of ceramic tiles and flags
23.31.0,5,23.31,Manufacture of ceramic tiles and flags
23.32,4,23.3,"Manufacture of bricks, tiles and construction products, in baked clay"
23.32.0,5,23.32,"Manufacture of bricks, tiles and construction products, in baked clay"
23.4,3,23,Manufacture of other porcelain and ceramic products
23.41,4,23.4,Manufacture of ceramic household and ornamental articles
23.41.0,5,23.41,Manufacture of ceramic household and ornamental articles
23.42,4,23.4,Manufacture of ceramic sanitary fixtures
23.42.0,5,23.42,Manufacture of ceramic sanitary fixtures
23.43,4,23.4,Manufacture of ceramic insulators and insulating fittings
23.43.0,5,23.43,Manufacture of ceramic insulators and insulating fittings
23.44,4,23.4,Manufacture of other technical ceramic products
23.44.0,5,23.44,Manufacture of other technical ceramic products
23.49,4,23.4,Manufacture of other ceramic products
23.49.0,5,23.49,Manufacture of other ceramic products
23.5,3,23,"Manufacture of cement, lime and plaster"
23.51,4,23.5,Manufacture of cement
23.51.0,5,23.51,Manufacture of cement
23.52,4,23.5,Manufacture of lime and plaster
23.52.0,5,23.52,Manufacture of lime and plaster
23.6,3,23,"Manufacture of articles of concrete, cement and plaster"
23.61,4,23.6,Manufacture of concrete products for construction purposes
23.61.0,5,23.61,Manufacture of concrete products for construction purposes
23.62,4,23.6,Manufacture of plaster products for construction purposes
23.62.0,5,23.62,Manufacture of plaster products for construction purposes
23.63,4,23.6,Manufacture of ready-mixed concrete
23.63.0,5,23.63,Manufacture of ready-mixed concrete
23.64,4,23.6,Manufacture of mortars
23.64.0,5,23.64,Manufacture of mortars
23.65,4,23.6,Manufacture of fibre cement
23.65.0,5,23.65,Manufacture of fibre cement
23.69,4,23.6,"Manufacture of other articles of concrete, plaster and cement"
23.69.0,5,23.69,"Manufacture of other articles of concrete, plaster and cement"
23.7,3,23,"Cutting, shaping and finishing of stone"
23.70,4,23.7,"Cutting, shaping and finishing of stone"
23.70.0,5,23.70,"Cutting, shaping and finishing of stone"
23.9,3,23,Manufacture of abrasive products and non-metallic mineral products n.e.c.
23.91,4,23.9,Production of abrasive products
23.91.0,5,23.91,Production of abrasive products
23.99,4,23.9,Manufacture of other non-metallic mineral products n.e.c.
23.99.0,5,23.99,Manufacture of other non-metallic mineral products n.e.c.
24,2,C,Manufacture of basic metals
24.1,3,24,Manufacture of basic iron and steel and of ferro-alloys
24.10,4,24.1,Manufacture of basic iron and steel and of ferro-alloys
24.10.0,5,24.10,Manufacture of basic iron and steel and of ferro-alloys
24.2,3,24,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
24.20,4,24.2,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
24.20.1,5,24.20,"Manufacture of steel tubes, except precision steel tubes"
24.20.2,5,24.20,Manufacture of precision steel tubes
24.20.3,5,24.20,Manufacture of steel tube fittings
24.3,3,24,Manufacture of other products of first processing of steel
24.31,4,24.3,Cold drawing of bars
24.31.0,5,24.31,Cold drawing of bars
24.32,4,24.3,Cold rolling of narrow strip
24.32.0,5,24.32,Cold rolling of narrow strip
24.33,4,24.3,Cold forming or folding
24.33.0,5,24.33,Cold forming or folding
24.34,4,24.3,Cold drawing of wire
24.34.0,5,24.34,Cold drawing of wire
24.4,3,24,Manufacture of basic precious and other non-ferrous metals
24.41,4,24.4,Precious metals production
24.41.0,5,24.41,Precious metals production
24.42,4,24.4,Aluminium production
24.42.0,5,24.42,Aluminium production
24.43,4,24.4,"Lead, zinc and tin production"
24.43.0,5,24.43,"Lead, zinc and tin production"
24.44,4,24.4,Copper production
24.44.0,5,24.44,Copper production
24.45,4,24.4,Other non-ferrous metal production
24.45.0,5,24.45,Other non-ferrous metal production
24.46,4,24.4,Processing of nuclear fuel
24.46.0,5,24.46,Processing of nuclear fuel
24.5,3,24,Casting of metals
24.51,4,24.5,Casting of iron
24.51.0,5,24.51,Casting of iron
24.52,4,24.5,Casting of steel
24.52.0,5,24.52,Casting of steel
24.53,4,24.5,Casting of light metals
24.53.0,5,24.53,Casting of light metals
24.54,4,24.5,Casting of other non-ferrous metals
24.54.0,5,24.54,Casting of other non-ferrous metals
25,2,C,"Manufacture of fabricated metal products, except machinery and equipment"
25.1,3,25,Manufacture of structural metal products
25.11,4,25.1,Manufacture of metal structures and parts of structures
25.11.0,5,25.11,Manufacture of metal structures and parts of structures
25.12,4,25.1,Manufacture of doors and windows of metal
25.12.0,5,25.12,Manufacture of doors and windows of metal
25.2,3,25,"Manufacture of tanks, reservoirs and containers of metal"
25.21,4,25.2,Manufacture of central heating radiators and boilers
25.21.0,5,25.21,Manufacture of central heating radiators and boilers
25.29,4,25.2,"Manufacture of other tanks, reservoirs and containers of metal"
25.29.0,5,25.29,"Manufacture of other tanks, reservoirs and containers of metal"
25.3,3,25,"Manufacture of steam generators, except central heating hot water boilers"
25.30,4,25.3,"Manufacture of steam generators, except central heating hot water boilers"
25.30.0,5,25.30,"Manufacture of steam generators, except central heating hot water boilers"
25.4,3,25,Manufacture of weapons and ammunition
25.40,4,25.4,Manufacture of weapons and ammunition
25.40.0,5,25.40,Manufacture of weapons and ammunition
25.5,3,25,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
25.50,4,25.5,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
25.50.1,5,25.50,Hammer forging
25.50.2,5,25.50,Drop forging
25.50.3,5,25.50,Cold extrusion
25.50.4,5,25.50,"Pressing, stamping and roll-forming"
25.50.5,5,25.50,Powder metallurgy
25.6,3,25,Treatment and coating of metals; machining
25.61,4,25.6,Treatment and coating of metals
25.61.0,5,25.61,Treatment and coating of metals
25.62,4,25.6,Machining
25.62.0,5,25.62,Machining
25.7,3,25,"Manufacture of cutlery, tools and general hardware"
25.71,4,25.7,Manufacture of cutlery
25.71.0,5,25.71,Manufacture of cutlery
25.72,4,25.7,Manufacture of locks and hinges
25.72.0,5,25.72,Manufacture of locks and hinges
25.73,4,25.7,Manufacture of tools
25.73.1,5,25.73,Manufacture of hand tools
25.73.2,5,25.73,Manufacture of saws and of machine-tools for woodworking
25.73.3,5,25.73,Manufacture of interchangeable tools for metalworking n.e.c.
25.73.4,5,25.73,Manufacture of agricultural implements
25.73.5,5,25.73,Manufacture of other tools
25.9,3,25,Manufacture of other fabricated metal products
25.91,4,25.9,Manufacture of steel drums and similar containers
25.91.0,5,25.91,Manufacture of steel drums and similar containers
25.92,4,25.9,Manufacture of light metal packaging
25.92.0,5,25.92,Manufacture of light metal packaging
25.93,4,25.9,"Manufacture of wire products, chain and springs"
25.93.0,5,25.93,"Manufacture of wire products, chain and springs"
25.94,4,25.9,Manufacture of fasteners and screw machine products
25.94.0,5,25.94,Manufacture of fasteners and screw machine products
25.99,4,25.9,Manufacture of other fabricated metal products n.e.c.
