Code,Level,Parent,Description
8412,4,841,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security"
8413,4,841,Regulation of and contribution to more efficient operation of businesses
842,3,84,Provision of services to the community as a whole
8421,4,842,Foreign affairs
8422,4,842,Defence activities
8423,4,842,Public order and safety activities
843,3,84,Compulsory social security activities
8430,4,843,Compulsory social security activities
P,1,,Education
85,2,P,Education
851,3,85,Pre-primary and primary education
8510,4,851,Pre-primary and primary education
852,3,85,Secondary education
8521,4,852,General secondary education
8522,4,852,Technical and vocational secondary education
853,3,85,Higher education
8530,4,853,Higher education
854,3,85,Other education
8541,4,854,Sports and recreation education
8542,4,854,Cultural education
8549,4,854,Other education n.e.c.
855,3,85,Educational support activities
8550,4,855,Educational support activities
Q,1,,Human health and social work activities
86,2,Q,Human health activities
861,3,86,Hospital activities
8610,4,861,Hospital activities
862,3,86,Medical and dental practice activities
8620,4,862,Medical and dental practice activities
869,3,86,Other human health activities
8690,4,869,Other human health activities
87,2,Q,Residential care activities
871,3,87,Residential nursing care facilities
8710,4,871,Residential nursing care facilities
872,3,87,"Residential care activities for mental retardation, mental health and substance abuse"
8720,4,872,"Residential care activities for mental retardation, mental health and substance abuse"
873,3,87,Residential care activities for the elderly and disabled
8730,4,873,Residential care activities for the elderly and disabled
879,3,87,Other residential care activities
8790,4,879,Other residential care activities
88,2,Q,Social work activities without accommodation
881,3,88,Social work activities without accommodation for the elderly and disabled
8810,4,881,Social work activities without accommodation for the elderly and disabled
889,3,88,Other social work activities without accommodation
8890,4,889,Other social work activities without accommodation
R,1,,"Arts, entertainment and recreation"
90,2,R,"Creative, arts and entertainment activities"
900,3,90,"Creative, arts and entertainment activities"
9000,4,900,"Creative, arts and entertainment activities"
91,2,R,"Libraries, archives, museums and other cultural activities"
910,3,91,"Libraries, archives, museums and other cultural activities"
9101,4,910,Library and archives activities
9102,4,910,Museums activities and operation of historical sites and buildings
9103,4,910,Botanical and zoological gardens and nature reserves activities
92,2,R,Gambling and betting activities
920,3,92,Gambling and betting activities
9200,4,920,Gambling and betting activities
93,2,R,Sports activities and amusement and recreation activities
931,3,93,Sports activities
9311,4,931,Operation of sports facilities
9312,4,931,Activities of sports clubs
9319,4,931,Other sports activities
932,3,93,Other amusement and recreation activities
9321,4,932,Activities of amusement parks and theme parks
9329,4,932,Other amusement and recreation activities n.e.c.
S,1,,Other service activities
94,2,S,Activities of membership organizations
941,3,94,"Activities of business, employers and professional membership organizations"
9411,4,941,Activities of business and employers membership organizations
9412,4,941,Activities of professional membership organizations
942,3,94,Activities of trade unions
9420,4,942,Activities of trade unions
949,3,94,Activities of other membership organizations
9491,4,949,Activities of religious organizations
9492,4,949,Activities of political organizations
9499,4,949,Activities of other membership organizations n.e.c.
95,2,S,Repair of computers and personal and household goods
951,3,95,Repair of computers and communication equipment
9511,4,951,Repair of computers and peripheral equipment
9512,4,951,Repair of communication equipment
952,3,95,Repair of personal and household goods
9521,4,952,Repair of consumer electronics
9522,4,952,Repair of household appliances and home and garden equipment
9523,4,952,Repair of footwear and leather goods
9524,4,952,Repair of furniture and home furnishings
9529,4,952,Repair of other personal and household goods
96,2,S,Other personal service activities
960,3,96,Other personal service activities
9601,4,960,Washing and (dry-) cleaning of textile and fur products
9602,4,960,Hairdressing and other beauty treatment
9603,4,960,Funeral and related activities
9609,4,960,Other personal service activities n.e.c.
T,1,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
97,2,T,Activities of households as employers of domestic personnel
970,3,97,Activities of households as employers of domestic personnel
9700,4,970,Activities of households as employers of domestic personnel
98,2,T,Undifferentiated goods- and services-producing activities of private households for own use
981,3,98,Undifferentiated goods-producing activities of private households for own use
9810,4,981,Undifferentiated goods-producing activities of private households for own use
982,3,98,Undifferentiated service-producing activities of private households for own use
9820,4,982,Undifferentiated service-producing activities of private households for own use
U,1,,Activities of extraterritorial organizations and bodies
99,2,U,Activities of extraterritorial organizations and bodies
990,3,99,Activities of extraterritorial organizations and bodies
9900,4,990,Activities of extraterritorial organizations and bodies
