Code,Level,Parent,Description,Definition,Examples
015,3,01,GROWING OF CROPS COMBINED WITH ANIMAL PRODUCTION (MIXED FARMING),,
0150,4,015,Growing of Crops Combined with Animal Production (Mixed Farming),,
01500,5,0150,Growing of crops combined with animal production (mixed farming),"This Sub-class includes the combined production of crops and animals without a specialised production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit exceeds 66 percent of standard gross margins, the combined activity should not be included here, but allocated to crop or animal farming.",
016,3,01,AGRICULTURAL AND ANIMAL HUSBANDRY SERVICE ACTIVITIES EXCEPT VETERINARY ACTIVITIES,,
0160,4,016,Agricultural and Animal Husbandry Service Activities (except Veterinary Activities),,
01600,5,0160,Agricultural and animal husbandry service activities except veterinary activities,"This Sub-class includes agricultural and animal husbandry services such as collection of agricultural and animal husbandry by-products (e.g. chicken feathers, palm leaves). The provision of agricultural equipment together with the services of drivers and other attendants of equipment is also covered in this Sub-class. 

Units in this Sub-class are primarily engaged in one or more of the following activities:
•herd testing services
•poultry caponising
•coop cleaning
•sheep shearing
•preparation of crops for primary markets by cleaning, trimming, grading or disinfecting
•cotton ginning
•waxing of fruits
•sun-drying of fruits or vegetables 
•seed processing for propagation",
02,2,A,"FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES",,
020,3,02,"FORESTRY, LOGGING AND RELATED SERVICE ACTIVITIES",,
0200,4,020,"Forestry, Logging and Related Service Activities",,
02000,5,0200,"Forestry, logging and related service activities","This Sub-class includes the extraction, gathering and production of round wood for the forest-based manufacturing industries. Besides the production of timber, forestry activities result in products that undergo little processing, such as fire wood, charcoal, wood chips and round wood used in an unprocessed form (e.g. pit-props, pulpwood). These activities can be carried out in natural or planted forests. 

Units in this Sub-class are primarily engaged in one or more of the following:
•growing of standing timber: 
- planting
- replanting
- transplanting
- thinning
- conserving of forests and timber tracts 
•growing of pulpwood 
•operation of forest tree nurseries
•production of round wood
•gathering and production of fire wood
•production of charcoal in the forest (using traditional methods)",
03,2,A,"FISHING, OPERATION OF FISH HATCHERIES AND FISH FARMS; SERVICE ACTIVITIES INCIDENTAL TO FISHING",,
031,3,03,FISHING,,
0310,4,031,Fishing,,
03101,5,0310,Fishing in kelongs,"This Sub-class includes commercial fishing in kelongs directed at removing or collecting live fish, molluscs (e.g. mussels and oysters), crustaceans or plants (e.g. sea weeds) for human consumption and other purposes by hand or various types of fishing gear such as nets, lines or stationary traps.",
03102,5,0310,Ocean fishing except fishing in kelongs,"This Sub-class includes commercial fishing in oceans directed at removing or collecting live wild fish, molluscs (e.g. mussels and oysters), crustaceans or plants (e.g. sea weeds) for human consumption and other purposes by hand, commercially made boats or various types of fishing gear such as nets, lines or stationary traps.",
03103,5,0310,Coastal fishing except fishing in kelongs,"This Sub-class includes commercial fishing in coastal waters, directed at removing or collecting live wild fish, molluscs (e.g. mussels and oysters), crustaceans or plants (e.g. sea weeds) for human consumption and other purposes by hand or various types of fishing gear such as nets, lines or stationary traps.",
03109,5,0310,Fishing n.e.c.,This Sub-class includes fishing activities not elsewhere classified.,"•natural pearl gathering
•sea sponge gathering
•coral gathering"
032,3,03,OPERATION OF FISH HATCHERIES AND FISH FARMS,,
0320,4,032,Fish Farming,,
03201,5,0320,Food fish farms,This Sub-class includes farms that rear marine or freshwater fish for food.,
03202,5,0320,Ornamental fish farms,This Sub-class includes marine or freshwater ornamental fish farms.,
03209,5,0320,"Operation of fish hatcheries and fish farms n.e.c. (including turtle, prawn, crab, mussel farms)",This Sub-class includes aquafarming activities not elsewhere classified.,"•fish hatcheries
•mussel farm
•prawn farm"
B,1,,MINING AND QUARRYING,,
08,2,B,MINING AND QUARRYING,,
081,3,08,"QUARRYING OF STONE, SAND AND CLAY",,
0810,4,081,"Quarrying of Stone, Sand and Clay",,
08101,5,0810,Stone quarrying,"This Sub-class includes extraction of building or monumental stone from the earth.

Units in this Sub-class are primarily engaged in one or more of the following:
•quarrying, rough trimming or sawing of monumental or building stone (e.g. marble, granite, sandstone, slate)
•quarrying, crushing or breaking of limestone
•mining of gypsum, anhydrite, chalk or uncalcined dolomite
•extraction or dredging of gravel
•breaking or crushing of stone or gravel",
08102,5,0810,Quarrying of sand and clay,"This Sub-class includes:
•extraction of ceramic, refractory or other clay from the earth
•extraction of sand from the earth.

Units in this Sub-class are primarily engaged in one or more of the following:
•extraction or dredging of industrial sand or sand from construction
•quarrying of sand",
089,3,08,OTHER MINING AND QUARRYING,,
0890,4,089,Other Mining and Quarrying,,
08900,5,0890,Other mining and quarrying,"This Sub-class includes mining and quarrying of other minerals, except for stone, sand and clay.

Units in this Sub-class are primarily engaged in one or more of the following:
•mining of:
- metal ores
- thorium ores
- non-ferrous metal ores (e.g. aluminium (bauxite), copper, lead, zinc, tin, manganese)
- coal
- lignite
- chemicals 
- fertiliser minerals
•extraction of peat uranium or salt 
•mining and quarrying of various minerals or materials such as abrasive materials, asbestos or siliceous fossils meals",
09,2,B,"SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION (EXCLUDING SURVEYING AND ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES)",,
090,3,09,"SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION (EXCLUDING SURVEYING AND ENGINEERING DESIGN AND CONSULTANCY SERVICES SUPPORTING MINING, OIL AND GAS EXTRACTION AND OFFSHORE EXPLORATION ACTIVITIES)",,
0900,4,090,"Service Activities Incidental to Oil and Gas Extraction (excluding Surveying and Engineering Design and Consultancy Services Supporting Mining, Oil and Gas Extraction and Offshore Exploration Activities)",,
09001,5,0900,Crude petroleum and natural gas production,"This Sub-class includes extraction, exploration, dressing or beneficiating of crude petroleum and natural gas.

Units in this Sub-class are primarily engaged in one or more of the following:
•extraction or exploration of crude petroleum oils, gaseous hydrocarbon (natural gas) or condensates 
•draining or separation of liquid hydrocarbon fractions
•gas desulphurisation
•extraction or exploration of bituminous or oil shale or tar sand
•production of crude petroleum from bituminous shale or sand
•processes to obtain crude oils such as decantation, desalting, dehydration or stabilisation
•mining of hydrocarbon liquid, obtained through liquefaction or pyrolysis",
09002,5,0900,"Service activities incidental to oil and gas extraction (excluding surveying and engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities)","This Sub-class includes oil and gas field service support activities such as:
•directional drilling or redrilling
•cementing oil or gas well casings
•pumping, plugging or abandoning wells",
C,1,,MANUFACTURING,,
10,2,C,MANUFACTURE OF FOOD PRODUCTS,,
101,3,10,PROCESSING AND PRESERVING OF MEAT,,
1010,4,101,Processing and Preserving of Meat,,
10101,5,1010,Slaughtering of livestock and poultry,"This Sub-class includes the operation of slaughterhouses engaged in killing, dressing or packing meat: beef, pork, lamb, mutton, poultry, etc.

Units in this Sub-class are primarily engaged in the production of fresh, chilled or frozen meat in carcasses, cuts or in individual portions.",
10102,5,1010,Manufacture of sausage,This Sub-class includes the manufacture of sausages or salami.,
10103,5,1010,"Preparing, canning and preserving of livestock and livestock products (including lard and other edible animal fats)","This Sub-class includes:
•the preparation of processed meat or meat by-products: beef, pork, lamb, mutton, etc.
•rendering of lard or other edible fats of animal origin. 

Units in this Sub-class are primarily engaged in the production of:
•dried, salted or smoked meat: beef, pork, lamb, mutton, etc. 
•meat products like puddings, pâtés, rillettes, boiled ham
•hides or skins originating from slaughterhouses, including fellmongery and pulled wool",
10104,5,1010,"Preparing, canning and preserving of poultry and poultry products","This Sub-class includes the preparation of processed poultry or poultry by-products. 

Units in this Sub-class are primarily engaged in the production of:
•dried, salted or smoked poultry
•poultry skins originating from slaughterhouses, including feathers or down",
10109,5,1010,Processing and preserving of meat and meat products n.e.c.,This Sub-class includes processing or preserving of meat or meat products not elsewhere classified.,•satay manufacturing
102,3,10,PROCESSING AND PRESERVING OF SEAFOOD,,
1020,4,102,Processing and Preserving of Seafood,,
10200,5,1020,Processing and preserving of seafood,"This Sub-class includes:
•canning of seafood; processing, curing or preserving of seafood by methods other than canning. It also includes the activities of vessels engaged only in the processing or preserving of fish.

Units in this Sub-class are primarily engaged in one or more of the following:
•production of:
- fish, crustacean or mollusc products: cooked fish, fish fillets, roes, caviar, caviar substitutes, etc.
- fishmeal for human consumption or animal feed
- meals or solubles from fish or other aquatic animals unfit for human consumption
•preparation or preservation of fish, crustaceans and molluscs: freezing, deep-freezing, drying, smoking, salting, immersing in brine, canning, etc.
•processing of seaweed
•preparation or preservation of fish, crustaceans or molluscs through canning",
103,3,10,PROCESSING AND PRESERVING OF FRUITS AND VEGETABLES,,
1030,4,103,Processing and Preserving of Fruits and Vegetables,,
10301,5,1030,Manufacture of jams (including fruit jelly),"This Sub-class includes manufacture of jams (including fruit jelly), marmalades and table jellies.",
10302,5,1030,Other canning and preserving of fruits and fruit juices,"This Sub-class includes:
•manufacture of food consisting chiefly of fruits, except ready-made dishes in frozen or canned form
•preserving of fruit by freezing, drying, immersing in oil or in vinegar, canning, etc.

Units in this Sub-class are primarily engaged in the manufacture of:
•fruit food products
•fruit juices
•concentrates from fresh fruits
•perishable prepared foods of fruit",
10303,5,1030,Other canning and preserving of vegetables and vegetable juices (including pickles),"This Sub-class includes:
•manufacture of food consisting chiefly of vegetables, except ready-made dishes in frozen or canned form
•preserving of nuts or vegetables by freezing, drying, immersing in oil or in vinegar, canning, etc. 
•industrial peeling of potatoes

Units in this Sub-class are primarily engaged in the manufacture of:
•vegetable food products
•vegetable juices
•concentrates from vegetables
•prepared frozen potatoes
•dehydrated mashed potatoes
•potato flour or meal
•nut foods or pastes
•perishable prepared foods of vegetables
•cut or peeled vegetables",
104,3,10,MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS,,
1040,4,104,Manufacture of Vegetable and Animal Oils and Fats,,
10401,5,1040,Manufacture of edible vegetable and animal oils and fats,"This Sub-class includes the manufacture of edible crude or refined oils or fats from vegetables or animal materials, except rendering or refining of lard and other edible animal fats.

Units in this Sub-class are primarily engaged in the manufacture of:
•crude vegetable oils: olive oil, soya bean oil, sunflower-seed oil, cotton-seed oil, rapeseed oil, mustard oil, linseed oil, etc.
•non-defatted flour or meal of oilseeds, oil nuts or oil kernels
•refined vegetable oils: olive oil, soya bean oil, etc.
•margarine
•melanges or similar spreads
•compound cooking fats
•crude or refined coconut and palm oil
•processing of vegetable oils: blowing, boiling, dehydration, hydrogenation, etc.
•extraction of fish or marine mammal oils",
10402,5,1040,Manufacture of inedible vegetable and animal oils and fats,"This Sub-class includes:
•manufacture of inedible crude or refined oils and fats from vegetables or animals
•manufacture of cotton linters, oilcakes or other residual products of oil production",
10409,5,1040,Manufacture of vegetable and animal oils and fats n.e.c.,This Sub-class includes the manufacture of vegetable or animal oils and fats not elsewhere classified.,"•animal oil, hydrogenating, excluding edible fats"
105,3,10,MANUFACTURE OF DAIRY PRODUCTS,,
1050,4,105,Manufacture of Dairy Products,,
10501,5,1050,Manufacture of condensed and evaporated milk (including pasteurising and bottling of fluid milk),"This Sub-class includes the manufacture of condensed or evaporated milk (including pasteurising or bottling of fluid milk).

Units in this Sub-class are primarily engaged in the manufacture of:
•fresh liquid milk, pasteurised, sterilised, homogenised or ultra heat treated
•milk-based drinks
•cream from fresh liquid milk (pasteurised, sterilised, homogenised)",
10502,5,1050,Manufacture of milk powder,"This Sub-class includes the manufacture of milk powder.

Units in this Sub-class are primarily engaged in the manufacture of:
•dried or concentrated milk whether or not sweetened
•milk or cream in solid form",
10503,5,1050,Manufacture of ice-cream,This Sub-class includes the manufacture of ice-cream or other edible ice such as sorbet.,
10509,5,1050,"Manufacture of dairy products n.e.c. (e.g. butter, cheese, ice-cream mixes and powder, yoghurt)",This Sub-class includes the manufacture of dairy products not elsewhere classified.,"•butter manufacturing
•cheese manufacturing
•yoghurt manufacturing"
106,3,10,"MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS",,
1061,4,106,Manufacture of Grain Mill Products,,
10611,5,1061,Rice milling,"This Sub-class includes:
•rice milling: production of husked, milled, polished, glazed, parboiled or converted rice 
•production of rice flour",
10612,5,1061,Wheat milling,"This Sub-class includes grain milling: production of flour, meal or pellets of wheat, rye, oats, maize (corn) or other cereal grains.",
10613,5,1061,Provision of milling services,This Sub-class includes provision of milling services.,
10619,5,1061,Manufacture of grain mill products n.e.c.,This Sub-class includes the manufacture of grain mill products not elsewhere classified.,"•pepper seed processing
•cereal breakfast foods manufacturing
•flour mixes or prepared blended flour or dough for bread, cakes, biscuits or pancakes manufacturing"
1062,4,106,Manufacture of Starches and Starch Products,,
10620,5,1062,Manufacture of starches and starch products,"This Sub-class includes the manufacture of starches or starch products.

Units in this Sub-class are primarily engaged in the manufacture of:
•starches from rice, potatoes, maize, etc.
•glucose, glucose syrup, maltose, etc.
•gluten
•tapioca or tapioca substitutes prepared from starch
•corn oil
•wet corn milling",
107,3,10,MANUFACTURE OF OTHER FOOD PRODUCTS,,
1071,4,107,Manufacture of Bakery Products,,
10711,5,1071,Manufacture of biscuits (including wafers and cones),"This Sub-class includes:
•manufacture of biscuits or other ""dry"" bakery products (e.g. wafers, cones)
•manufacture of snack products (e.g. cookies, biscuit crackers, pretzels), whether sweet or salted
•manufacture of tortillas",
10712,5,1071,"Manufacture of bread, cakes and confectionery (excluding frozen bakery products)","This Sub-class includes the manufacture of:
•fresh bread or rolls
•fresh pastry, cakes, pies, tarts, etc.
•preserved pastry goods or cakes (excluding frozen)",
10719,5,1071,Manufacture of bakery products n.e.c.,"This Sub-class includes the manufacture of frozen bakery products like:
•pancakes
•waffles
•roti prata",
1072,4,107,Manufacture of Sugar,,
10720,5,1072,Manufacture of sugar and sugar products,"This Sub-class includes:
•refining of sugar
•manufacture of:
- sugar substitutes form the juice of cane, beet, maple or palm
- sugar syrups 
- molasses
•production of maple syrup or sugar",
1073,4,107,"Manufacture of Cocoa, Chocolate and Non-chocolate Confectionery",,
10731,5,1073,Manufacture of cocoa and chocolate powder from beans,"This Sub-class includes:
•manufacture of cocoa or chocolate powder from beans
•manufacture of cocoa butter, cocoa fat or cocoa oil",
10732,5,1073,Manufacture of chocolate and chocolate products,This Sub-class includes the manufacture of chocolate and chocolate confectionery.,
10733,5,1073,"Manufacture of non-chocolate confectionery (e.g. sweets, toffees, crystallised fruits, chewing gums)","This Sub-class includes the manufacture of non-chocolate confectionery.

Units in this Sub-class are primarily engaged in the manufacture of:
•sugar confectionery: caramels, cachous, nougats, fondant, white chocolate, sweets, toffees
•chewing gum
•confectionery lozenges and pastilles
•preserving in sugar of fruit, nuts, fruit peels or other parts of plants",
1074,4,107,"Manufacture of Macaroni, Noodles, Vermicelli and Other Related Products",,
10740,5,1074,"Manufacture of macaroni, noodles, vermicelli and other related products","This Sub-class includes the manufacture of:
•pastas such as macaroni or noodles, whether cooked or stuffed
•canned or frozen pasta products",
1075,4,107,Manufacture of Prepared Meals and Dishes,,
10750,5,1075,Manufacture of cooked-food preparations (e.g. frozen dinners),"This Sub-class includes the manufacture of ready-made (i.e. prepared, seasoned and cooked) meals or dishes. These dishes are processed to preserve them, such as in frozen or canned form, and are usually packaged and labelled for re-sale, i.e. this class does not include the preparation of meals for immediate consumption, such as in restaurants. To be considered a dish, these foods have to contain at least two distinct main ingredients (except seasonings).

Units in this Sub-class are primarily engaged in the manufacture of:
•meat or poultry dishes
•fish dishes, including fish and chips
•prepared dishes of vegetables
•canned stews or vacuum-prepared meals
•other prepared meals (such as ""TV dinners"")
•frozen or otherwise preserved pizza",
1076,4,107,"Manufacture of Coffee, Tea and Related Products",,
10761,5,1076,Manufacture of instant beverages,"This Sub-class includes the manufacture of instant beverages, including coffee or tea substitutes.",
10762,5,1076,Processing of coffee seeds,"This Sub-class includes the processing of coffee seeds, including decaffeinating or roasting of coffee.",
10763,5,1076,Manufacture of coffee powder,"This Sub-class includes the manufacture of coffee powder including the production of coffee products (e.g. ground coffee, soluble coffee, extracts or concentrates of coffee, instant coffee).",
10764,5,1076,Manufacture of tea (including processing of tea leaves),"This Sub-class includes the manufacture of tea (including processing of tea leaves).

Units in this Sub-class are primarily engaged in:
•blending of tea or maté
•manufacture of extracts or preparations based on tea or mate
•manufacture of herbal tea
•instant tea
•herb infusions (e.g. mint, chamomile)",
10765,5,1076,Manufacture of non-dairy creamer,This Sub-class includes the manufacture of non-dairy creamer.,
1079,4,107,Manufacture of Other Food Products n.e.c.,,
10791,5,1079,"Manufacture of sauces including soya bean sauce (e.g. tomato sauce, chilli sauce)","This Sub-class includes manufacture of sauces (e.g. tomato sauce, chilli sauce, soya bean sauce).",
10792,5,1079,Manufacture of soya bean products except soya bean sauce and soya bean milk,This Sub-class includes manufacture of soya bean products except soya bean sauce and soya bean milk.,
10793,5,1079,Manufacture and processing of spices (including curry powder and spice extracts),"This Sub-class includes manufacture or processing of spices (e.g. curry powder, spice extracts).",
10794,5,1079,"Manufacture of chips, crackers and other titbits (excluding biscuits and confectionery)","This Sub-class includes manufacture of chips, keropok crackers or other titbits.",
10799,5,1079,Manufacture of other food products n.e.c. (except food chemicals and additives),This Sub-class includes manufacture of other food products not elsewhere classified.,"•vinegar manufacturing
•artificial honey or caramel manufacturing
•perishable prepared foods manufacturing
•yeast manufacturing
•extracts or juices of meat, fish, crustaceans or molluscs manufacturing
•non-dairy milk or cheese substitutes manufacturing
•egg products or egg albumin manufacturing"
108,3,10,MANUFACTURE OF PREPARED ANIMAL FEEDS,,
1080,4,108,Manufacture of Prepared Animal Feeds,,
10800,5,1080,Manufacture of prepared animal feeds (including additives for animal feed),"This Sub-class includes the manufacture of:
•prepared feeds for pets, including dogs, cats, birds, fish
•prepared feeds for farm animals, including animal feed concentrates or feed supplements
•additives for animal feed preparation
•preparation of unmixed (single) feeds for farm animals
•treatment of slaughter waste to produce animal feeds",
11,2,C,MANUFACTURE OF BEVERAGES,,
110,3,11,MANUFACTURE OF BEVERAGES,,
1101,4,110,"Distilling, Rectifying and Blending of Spirits",,
11010,5,1101,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials (including samsu and Chinese liquors)","This Sub-class includes:
•manufacture of distilled, potable, alcoholic beverages: whisky, brandy, gin, liqueurs, ""mixed drinks"", etc.
•blending of distilled spirits or production of neutral spirits",
1102,4,110,Manufacture of Wines,,
11020,5,1102,Manufacture of wines,"This Sub-class includes the manufacture of:
•wine
•sparkling wine
•wine from concentrated grape must
•fermented but not distilled alcoholic beverages: sake, cider, perry, mead, other fruit wines or mixed beverages containing alcohol
•vermouth and the like
•low or non-alcoholic wine
•blending of wine",
1103,4,110,Manufacture of Malt Liquors and Malt,,
11030,5,1103,Manufacture of malt liquors and malt (e.g. beer and stout),"This Sub-class includes the manufacture of:
•malt liquors, such as beer, ale, porter or stout
•malt
•low alcohol or non-alcoholic beer",
1104,4,110,"Manufacture of Soft Drinks, Production of Mineral Waters and Other Bottled Waters",,
11041,5,1104,"Manufacture of soft drinks, production of mineral waters (including carbonated waters, soya bean milk, barley water, chrysanthemum water)","This Sub-class includes the manufacture of:
•non-alcoholic beverages, except non-alcoholic beer or wine
•soft drinks: non-alcoholic flavoured or sweetened waters: lemonade, orangeade, cola, fruit drinks, tonic waters, etc.
•artifically carbonated waters, soya bean milk, barley water, chrysanthemum water, etc.
•natural mineral waters or other bottled waters",
11042,5,1104,"Manufacture of cordials, syrups and composite concentrates for beverages","This Sub-class includes the manufacture of of cordials, syrups or composite concentrates for beverages.",
11043,5,1104,Manufacture of ice except dry ice,This Sub-class includes the manufacture of ice except dry ice.,
12,2,C,MANUFACTURE OF TOBACCO PRODUCTS,,
120,3,12,MANUFACTURE OF TOBACCO PRODUCTS,,
1200,4,120,Manufacture of Tobacco Products,,
12001,5,1200,Manufacture of cigarettes,This Sub-class includes the manufacture of cigarettes.,
12009,5,1200,"Manufacture of tobacco products n.e.c. (e.g. cigars, loose tobacco)",This Sub-class includes the manufacture of tobacco products not elsewhere classified.,"•""homogenised"" or ""reconstituted"" tobacco manufacturing
•stemming and re-drying of tobacco
•chewing/loose tobacco manufacturing"
13,2,C,MANUFACTURE OF TEXTILES,,
131,3,13,"SPINNING, WEAVING AND FINISHING OF TEXTILES",,
1310,4,131,"Spinning, Weaving and Finishing of Textiles",,
13100,5,1310,"Spinning, weaving and finishing of textiles","This Sub-class includes:
•preparatory operations on textile fibres:
- reeling or washing of silk
- degreasing or carbonising of wool and dyeing of wool fleece
- carding or combing of all kinds of animal, vegetable or man-made fibres
- spinning or manufacture of yarn or thread for weaving or sewing, for the trade or for further processing: texturising, twisting, folding, cabling or dipping of synthetic or artificial filament yarns
•manufacture of:
- broad woven cotton-type, woollen-type, worsted-type or silk-type fabrics, including from mixtures or artificial or synthetic yarns
- other broad woven fabrics, using flax, ramie, hemp, jute, bast fibres or special yarns
- paper yarn
- woven pile or chenille fabrics, terry towelling, gauze, etc.
- woven fabrics of glass fibres
- woven fabrics of carbon or aramid threads
- imitation fur by weaving
•bleaching or dyeing of textile fibres, yarns, fabrics or textile articles, including wearing apparel
•dressing, drying, steaming, shrinking, mending, sanforising, mercerising of textiles and textile articles, including wearing apparel
•bleaching of jeans
•pleating or similar work on textiles
•waterproofing, coating, rubberising or impregnating of garments
•silk-screen printing on textiles or wearing apparel",
139,3,13,MANUFACTURE OF OTHER TEXTILES,,
1391,4,139,Manufacture of Knitted and Crocheted Fabrics,,
13910,5,1391,Manufacture of knitted and crocheted fabrics and laces,"This Sub-class includes the manufacture of knitted and crocheted fabrics and laces, for instance:
- pile or terry fabrics
- net or window furnishing type fabrics knitted on Raschel or similar machines
- imitation fur by knitting
- other knitted or crocheted fabrics",
1392,4,139,Manufacture of Made-Up Textile Articles except Apparel,,
13921,5,1392,"Manufacture of curtains, pillow cases, bed sheets and bed spreads","This Sub-class includes the manufacture of curtains, pillow cases, bed sheets or bed spreads.

Units in this Sub-class are primarily engaged in the manufacture of:
•blankets, including travelling rugs
•bed linen
•curtains, bedspreads",
13922,5,1392,"Manufacture of other made-up house furnishings (e.g. napkins, table cloths)","This Sub-class includes the manufacture of other made-up house furnishings (e.g. napkins, table cloths).

Units in this Sub-class are primarily engaged in the manufacture of:
•table, toilet or kitchen linen
•quilts, eiderdowns
•valances, blinds, furniture or machine covers, etc.
•dust cloths, dish cloths or similar articles",
13929,5,1392,"Manufacture of made-up textile articles except apparel n.e.c. (e.g. scrolls, flags and sails, banners, canvas products, cushions, pillows)",This Sub-class includes the manufacture of made-up textile articles (except apparel) not elsewhere classified.,"•table, toilet or kitchen linen manufacturing
•cushions, pouffes, pillows, sleeping bags manufacturing
•tarpaulins, tents, camping goods, sails, sun blinds, loose covers for cars, machines or furniture manufacturing
•flags, banners, pennants manufacturing
•life jackets, parachutes manufacturing
•the textile part of electric blankets manufacturing
•hand-woven tapestries manufacturing
•tire covers manufacturing"
1393,4,139,Manufacture of Carpets and Rugs,,
13930,5,1393,Manufacture of carpets and rugs,"This Sub-class includes:
•manufacture of textile floor coverings: carpets, rugs or mats, tiles
•manufacture of needle-loom felt floor coverings",
1394,4,139,"Manufacture of Cordage, Rope, Twine and Netting",,
13940,5,1394,"Manufacture of cordage, rope, twine and netting","This Sub-class includes:
•manufacture of cordage, rope, twine and cables of textile fibres or strip or the like, whether or not impregnated, coated, covered or sheathed with rubber or plastics
•manufacturing of knotted netting of cordage, rope or twine
•manufacture products of rope or netting (e.g. fishing nets, ships' fenders, unloading cushions, loading slings, rope or cable fitted with metal rings)",
1399,4,139,Manufacture of Other Textiles n.e.c.,,
13990,5,1399,Manufacture of other textiles n.e.c. (e.g. upholstery filling),"This Sub-class includes all activities related to the manufacture of textiles or textile products, not specified elsewhere in Division 13 or 14, involving a large number of processes and a great variety of goods produced.

Units in this Sub-class are primarily engaged in the manufacture of:
•narrow woven fabrics, including fabrics consisting of warp without weft assembled by means of an adhesive
•labels, badges, etc.
•ornamental trimmings: braids, tassels, pompons, etc.
•felt
•tulles or other net fabrics, and of lace and embroidery, in the piece, in strips or in motifs
•fabrics impregnated, coated, covered or laminated with plastics
•metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip covered, impregnated, coated or sheathed with rubber or plastics
•tyre cord fabric of high-tenacity man-made yarn
•other treated or coated fabrics: tracing cloth, canvas prepared for use by painters, buckram and similar stiffened textile fabrics, fabrics coated with gum or amylaceous substances
•diverse textile articles: textile wicks, incandescent gas mantles or tubular gas mantle fabric, hose piping, transmission or conveyor belts or belting (whether or not reinforced with metal or other material), bolting cloth, straining cloth
•automotive trimmings
•pressure sensitive cloth-tape
•artists' canvas boards or tracing cloth
•shoe-lace, of textiles
•powder puffs or mitts",
